Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 16V","C0603",4.000000,-9.400000,0.000000,top
"C2","100nF 16V","C0603",15.600000,-15.700000,0.000000,top
"C3","100uF 6.3V","CP5",13.000000,-4.099999,90.000000,top
"Q1","DMP2035U-7","SOT23",7.500000,-6.800000,90.000000,top
"R1","1.24k 1%","R0603",11.500000,-15.500000,180.000000,top
"R2","1k","R0603",3.700000,-6.000000,0.000000,top
"R3","100k","R0603",1.300000,-6.500000,90.000000,top
"S0","MSK12C02","MSK12C02",5.100000,-1.800000,0.000000,top
"U1","ATtiny202-SSNR","SOIC8",5.700000,-13.000000,0.000000,top
"U2","DRV8213DSGR","WSON8",14.000000,-13.200000,180.000000,top
