位號,數量,元件,型號或規格,封裝,安裝位置,備註
U1,1,微控制器,ATtiny202-SSNR,SOIC-8 3.9x4.9mm 正面,PCB,須另行燒錄韌體
U2,1,馬達驅動器,DRV8213DSGR,WSON-8 2x2mm 正面,PCB,底部散熱焊盤接地並焊接
R1,1,限流設定電阻,1.24kΩ 1% ≥0.063W；RC0603FR-071K24L,0603 1608 metric,PCB,標稱限流約2A待實測
C1 C2,2,去耦陶瓷電容,100nF 16V X7R ±10%；GRM188R71C104KA01D,0603 1608 metric,PCB,靠近對應IC電源腳
C3,1,鋁電解電容,EEEFK0J101UR 100µF 6.3V,直徑5mm 高5.8mm SMD,PCB,有極性；容量為原型初值
S0,1,薄型滑動開關,SHOU HAN MSK12C02；C431540,專用SMD封裝；高約1.4mm,PCB,50mA 12V；按2024-12-14圖面；不直接承受馬達電流
Q1,1,P通道MOSFET,DMP2035U-7,SOT-23,PCB,1=G 2=S 3=D；承受主電源電流
R2,1,閘極串聯電阻,1kΩ 1% ≥0.063W；RC0603FR-071KL,0603 1608 metric,PCB,限制開關閘極瞬間電流
R3,1,閘源上拉電阻,100kΩ 1% ≥0.063W；RC0603FR-07100KL,0603 1608 metric,PCB,Gate拉回Source，預設關斷
P1 P4,2,電池及馬達螺絲端子,KEFA KF128-2.54-2P；C474920,2.54mm THT；孔徑1.30mm,PCB,進線朝右；P1下正上負；P4下OUT1上OUT2；剝線5–6mm
P1 P4 導線,2,電池及馬達兩芯導線,建議短AWG22銅線；每組2條,無插頭，直接鎖線,板外,原有導線符合規格可沿用；P1注意正負極
P2 P3,2,兩位螺絲接線端子,KEFA KF128-2.54-2P；C474920,2.54mm THT；孔徑1.30mm,PCB,AWG26–18；剝線5–6mm；進線朝板下邊；1=NO 2=COM
C4,1,馬達抑噪陶瓷電容,100nF 無極性 耐壓≥10V,依馬達焊接空間,馬達端,直接跨接馬達端子
S1 S2,2,帶線長壓桿微動開關,常開COM/NO；型號待核對,依機構選擇,板外,放開不通、按下導通；AWG26–18；須核對小訊號最低負載；照片型號未確認
M1,1,直流馬達,Tamiya 980112M Mabuchi FA-130,沿用使用者指定馬達,板外,2粒AA供電
P5,0,可選燒錄排針,1x3 2.54mm,直插,PCB,可直接焊線而不裝排針
