Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF / 16V","C0603",4.500000,-8.350000,0.000000,top
"C2","100nF / 16V","C0603",14.500000,-8.350000,0.000000,top
"C3","100nF / 16V","C0603",21.600000,-22.000000,0.000000,top
"C4","100uF / 6.3V","CP5",17.650000,-4.000000,90.000000,top
"C5","220nF","C0603",9.000000,-9.600000,90.000000,top
"C6","220nF","C0603",9.000000,-15.600000,90.000000,top
"C7","100nF","C0603",18.000000,-24.000000,90.000000,top
"D1","BAT54WS","SOD323",16.000000,-20.500000,0.000000,top
"R1","100k","R0603",3.000000,-19.700000,0.000000,top
"R2","100k","R0603",12.000000,-19.700000,0.000000,top
"R3","1k","R0603",9.000000,-12.600000,90.000000,top
"R4","1k","R0603",9.000000,-18.600000,90.000000,top
"R5","100k","R0603",15.000000,-24.000000,90.000000,top
"R6","100R / 0.25W","R1206",19.400000,-10.400000,90.000000,top
"U1","SN74HC14DR","SOIC14",4.500000,-13.800000,0.000000,top
"U2","SN74HC74DR","SOIC14",14.500000,-13.800000,0.000000,top
"U3","DRV8212DSGR","WSON8",21.700000,-19.000000,180.000000,top
