Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF / 16V","C0603",7.500000,-14.500000,0.000000,top
"C2","100nF / 16V","C0603",20.000000,-14.500000,0.000000,top
"C3","100nF / 16V","C0603",31.000000,-23.000000,0.000000,top
"C4","100uF / 6.3V","CP5",28.000000,-10.000000,90.000000,top
"C5","220nF","C0603",12.500000,-15.000000,90.000000,top
"C6","220nF","C0603",12.500000,-23.000000,90.000000,top
"C7","100nF","C0603",28.000000,-33.000000,90.000000,top
"D1","BAT54WS","SOD323",27.000000,-28.000000,0.000000,top
"R1","100k","R0603",6.000000,-29.000000,0.000000,top
"R2","100k","R0603",18.000000,-29.000000,0.000000,top
"R3","1k","R0603",12.500000,-18.000000,90.000000,top
"R4","1k","R0603",12.500000,-26.000000,90.000000,top
"R5","100k","R0603",24.000000,-33.000000,90.000000,top
"R6","100R / 0.25W","R1206",21.000000,-6.000000,90.000000,top
"U1","SN74HC14DR","SOIC14",7.500000,-20.000000,0.000000,top
"U2","SN74HC74DR","SOIC14",20.000000,-20.000000,0.000000,top
"U3","DRV8212DSGR","WSON8",31.000000,-20.000000,180.000000,top
