位號,數量,元件,型號或規格,封裝,安裝位置,備註
U1,1,微控制器,ATtiny202-SSNR,SOIC-8 3.9x4.9mm 正面,PCB,須另行燒錄韌體
U2,1,馬達驅動器,DRV8213DSGR,WSON-8 2x2mm 正面,PCB,底部散熱焊盤接地並焊接
R1,1,限流設定電阻,1.24kΩ 1% ≥0.063W；RC0603FR-071K24L,0603 1608 metric,PCB,標稱限流約2A待實測
C1 C2,2,去耦陶瓷電容,100nF 16V X7R ±10%；GRM188R71C104KA01D,0603 1608 metric,PCB,靠近對應IC電源腳
C3,1,鋁電解電容,EEEFK0J101UR 100µF 6.3V,直徑5mm 高5.8mm SMD,PCB,有極性；容量為原型初值
S0,1,板上電源滑動開關,500ASSP1M2QE,3腳THT 腳距2.54mm,PCB,3A 28VDC銀接點；不用低電流外觀相似品
P2 P3,2,白色兩針直立插座,JST B2B-PH-K-S(LF)(SN),PH 2.0mm THT 孔徑0.75mm,PCB,配PHR-2插頭；從板上方插拔
P2 P3 配套線組,2,兩芯插頭線組,PHR-2及配套已壓接端子／導線,JST PH 2.0mm 2-pin,板外,1腳接微動開關NO；2腳接COM；NC不接
C4,1,馬達抑噪陶瓷電容,100nF 無極性 耐壓≥10V,依馬達焊接空間,馬達端,直接跨接馬達端子
S1 S2,2,機械微動開關,常開NO與共用COM接點,依機構選擇,板外,NC不接
M1,1,直流馬達,Tamiya 980112M Mabuchi FA-130,沿用使用者指定馬達,板外,2粒AA供電
P5,0,可選燒錄排針,1x3 2.54mm,直插,PCB,可直接焊線而不裝排針
