位置,數量,元件或數值,封裝或安裝,用途與採購狀態
U1,1,SN74HC14DR,SOIC-14,施密特反相器；淘寶圖示 HC14；完整尾碼及庫存待確認
U2,1,SN74HC74DR,SOIC-14,雙 D 觸發器；淘寶圖示完整型號及封裝吻合；庫存待確認
U3,1,DRV8212DSGR,WSON-8 含底部焊盤,PH/EN 馬達驅動；淘寶補圖完整型號及封裝吻合；表面標記 212；庫存待確認
R1/R2/R5,3,100kΩ ±1%,貼片封裝待定,上拉及復位
R3/R4,2,1kΩ ±1%,貼片封裝待定,消抖
R6,1,100Ω 0.25W ±1%,貼片封裝待定,關機放電
C1/C2/C3,3,100nF 16V X7R,貼片封裝待定,IC 去耦
C4,1,100µF 6.3V,有極性電解；封裝待定,電源緩衝；正極接 VCC
C5/C6,2,220nF ≥10V X7R ±10%,貼片封裝待定,消抖
C7,1,100nF ≥10V X7R ±10%,貼片封裝待定,上電復位
D1,1,BAT54WS-7-F,SOD-323；待指定 PCB 封裝,陰極色帶端接 VCC；陽極接 POR_RC
S0,1,SPDT PCB 電源開關,型號及封裝未定案,須核對 DC 馬達負載額定；先按至少 3A DC 等級篩選；不可用 50mA MSK12C02
P1/P2/P3/P4,4,兩位螺絲端子,孔距及型號待定,電池及馬達端子須承受馬達電流
C8（板外）,1,100nF ≥10V 陶瓷電容,直接焊馬達兩端,不計入板上 22 個零件
S1/S2（板外）,2,瞬時機械微動開關,帶焊線；接 COM 和 NO,不接 NC；不計入板上零件
M1（板外）,1,Tamiya 980112M Mabuchi FA-130,兩線馬達,使用者指定
電池盒（板外）,1,兩粒 AA 串聯電池盒,兩線接 P1,正負極須依 P1 標示
